date,orders_count,conversion_rate,churn_rate,defect_rate,orders_target
2025-02-16,58,0.0409,0.0258,0.0099,95
2025-02-17,77,0.0334,0.016,0.0138,95
2025-02-18,97,0.0313,0.0197,0.0079,95
2025-02-19,102,0.0349,0.01,0.0154,95
2025-02-20,70,0.0449,0.0168,0.0042,95
2025-02-21,80,0.0509,0.0184,0.007,95
2025-02-22,93,0.0506,0.024,0.0025,95
2025-02-23,55,0.0351,0.0115,0.0066,95
2025-02-24,72,0.0371,0.018,0.0101,95
2025-02-25,78,0.0358,0.0165,0.0138,95
2025-02-26,101,0.0495,0.0099,0.0053,95
2025-02-27,94,0.0246,0.0149,0.008,95
2025-02-28,103,0.0574,0.0137,0.0066,95
2025-03-01,107,0.0402,0.0034,0.005,95
2025-03-02,64,0.0372,0.018,0.0032,95
2025-03-03,74,0.0484,0.0177,0.0082,95
2025-03-04,89,0.0553,0.0128,0.0011,95
2025-03-05,96,0.0484,0.0083,0.0084,95
2025-03-06,82,0.0555,0.0224,0.0081,95
2025-03-07,104,0.0463,0.0163,0.0054,95
2025-03-08,110,0.0573,0.0201,0.004,95
2025-03-09,62,0.0575,0.0221,0.0025,95
2025-03-10,69,0.044,0.0124,0.0155,95
2025-03-11,87,0.0594,0.0191,0.0026,95
2025-03-12,103,0.0466,0.0138,0.0142,95
2025-03-13,81,0.0459,0.0147,0.0104,95
2025-03-14,98,0.0358,0.0146,0.0065,95
2025-03-15,147,0.0421,0.015,0.0034,95
2025-03-16,63,0.0528,0.0206,0.0122,95
2025-03-17,87,0.0319,0.0156,0.0149,95
2025-03-18,68,0.0515,0.0142,0.0043,95
2025-03-19,102,0.0485,0.0136,0.0068,95
2025-03-20,87,0.0478,0.0167,0.0122,95
2025-03-21,89,0.0229,0.0105,0.0093,95
2025-03-22,104,0.044,0.0125,0.016,95
2025-03-23,48,0.0515,0.0147,0.0057,95
2025-03-24,56,0.0374,0.0122,0.0102,95
2025-03-25,66,0.0459,0.0144,0.003,95
2025-03-26,97,0.0212,0.0119,0.0164,95
2025-03-27,81,0.0517,0.025,0.0051,95
2025-03-28,89,0.0384,0.0216,0.0,95
2025-03-29,143,0.0537,0.0172,0.0075,95
2025-03-30,64,0.0266,0.0147,0.0074,95
2025-03-31,75,0.0519,0.026,0.0157,95
2025-04-01,95,0.0426,0.0166,0.0066,95
2025-04-02,96,0.0531,0.0146,0.0079,95
2025-04-03,80,0.0357,0.0165,0.0104,95
2025-04-04,112,0.0388,0.0165,0.0143,95
2025-04-05,94,0.0674,0.0221,0.0077,95
2025-04-06,74,0.0367,0.0149,0.0122,95
2025-04-07,79,0.0379,0.0255,0.0101,95
2025-04-08,117,0.0422,0.0106,0.0068,95
2025-04-09,90,0.0348,0.0185,0.0083,95
2025-04-10,117,0.0569,0.01,0.0081,95
2025-04-11,94,0.0623,0.0241,0.0043,95
2025-04-12,106,0.038,0.0133,0.0129,95
2025-04-13,63,0.0277,0.0147,0.0025,95
2025-04-14,72,0.0567,0.0196,0.0127,95
2025-04-15,85,0.0561,0.0213,0.0118,95
2025-04-16,97,0.0532,0.0094,0.0076,95
2025-04-17,118,0.0566,0.0133,0.0049,95
2025-04-18,87,0.0363,0.008,0.0071,95
2025-04-19,119,0.0433,0.0157,0.0099,95
2025-04-20,57,0.0312,0.0145,0.011,95
2025-04-21,80,0.0308,0.0133,0.0091,95
2025-04-22,92,0.0548,0.0116,0.012,95
2025-04-23,163,0.0383,0.0131,0.0058,95
2025-04-24,87,0.0678,0.0113,0.0089,95
2025-04-25,154,0.0457,0.0176,0.0017,95
2025-04-26,95,0.0386,0.0226,0.0111,95
2025-04-27,72,0.053,0.0053,0.0086,95
2025-04-28,58,0.063,0.0144,0.0063,95
2025-04-29,61,0.0499,0.0129,0.0126,95
2025-04-30,89,0.0328,0.0175,0.0108,95
2025-05-01,99,0.0487,0.0102,0.0,95
2025-05-02,98,0.0588,0.0143,0.0082,95
2025-05-03,103,0.0401,0.0098,0.0022,95
2025-05-04,65,0.0373,0.0185,0.0123,95
2025-05-05,84,0.0552,0.0155,0.018,95
2025-05-06,86,0.0464,0.0142,0.0059,95
2025-05-07,91,0.034,0.0169,0.0083,95
2025-05-08,105,0.0412,0.0138,0.007,95
2025-05-09,96,0.0374,0.0072,0.0094,95
2025-05-10,128,0.048,0.018,0.0106,95
2025-05-11,34,0.0461,0.0164,0.0131,95
2025-05-12,62,0.0565,0.0142,0.0041,95
2025-05-13,82,0.0521,0.0199,0.0143,95
2025-05-14,95,0.0294,0.0211,0.0043,95
2025-05-15,103,0.0491,0.0095,0.0091,95
2025-05-16,108,0.054,0.0111,0.0126,95
2025-05-17,129,0.0496,0.0227,0.0109,95
2025-05-18,79,0.0553,0.0221,0.0042,95
2025-05-19,83,0.0395,0.0113,0.0052,95
2025-05-20,77,0.0355,0.0091,0.0062,95
2025-05-21,95,0.0543,0.0118,0.0078,95
2025-05-22,84,0.0343,0.0125,0.0126,95
2025-05-23,101,0.0234,0.0071,0.0028,95
2025-05-24,172,0.0553,0.0152,0.0099,95
2025-05-25,92,0.0378,0.0086,0.0104,95
2025-05-26,74,0.0419,0.0089,0.0102,95
2025-05-27,74,0.031,0.0196,0.0099,95
2025-05-28,95,0.0317,0.0116,0.0141,95
2025-05-29,94,0.0334,0.0146,0.01,95
2025-05-30,102,0.0414,0.0181,0.0114,95
2025-05-31,101,0.0487,0.0191,0.0103,95
2025-06-01,97,0.022,0.0133,0.0152,95
2025-06-02,58,0.0525,0.0152,0.0004,95
2025-06-03,73,0.0332,0.0109,0.0131,95
2025-06-04,107,0.0343,0.0237,0.007,95
2025-06-05,97,0.0518,0.0182,0.0069,95
2025-06-06,111,0.0443,0.0095,0.0041,95
2025-06-07,88,0.0296,0.015,0.0005,95
2025-06-08,67,0.0634,0.0186,0.0065,95
2025-06-09,69,0.0364,0.0174,0.0053,95
2025-06-10,93,0.0475,0.0241,0.01,95
2025-06-11,107,0.047,0.0219,0.0021,95
2025-06-12,118,0.0591,0.0123,0.0137,95
2025-06-13,99,0.0404,0.0146,0.0091,95
2025-06-14,101,0.0551,0.0086,0.007,95
2025-06-15,59,0.0376,0.0162,0.0052,95
2025-06-16,102,0.0562,0.0158,0.0049,95
2025-06-17,73,0.0374,0.0285,0.0035,95
2025-06-18,136,0.0414,0.0155,0.0058,95
2025-06-19,107,0.064,0.0045,0.008,95
2025-06-20,94,0.0482,0.0116,0.0073,95
2025-06-21,91,0.0461,0.0156,0.0023,95
2025-06-22,52,0.0674,0.0087,0.0069,95
2025-06-23,60,0.0486,0.0107,0.0044,95
2025-06-24,77,0.0368,0.0132,0.0086,95
2025-06-25,98,0.0523,0.0167,0.0155,95
2025-06-26,87,0.0332,0.0142,0.0105,95
2025-06-27,100,0.0563,0.0106,0.0067,95
2025-06-28,111,0.0571,0.0189,0.0015,95
2025-06-29,92,0.0393,0.0123,0.0023,95
2025-06-30,65,0.0387,0.0125,0.0013,95
